Curso,Semestre_ingresso,Idade,Cidade,Estado,Trabalha,Forma_ingresso,Cota,Num_disciplinas,Reprovacao,Media
Licenciatura em Matemática,161,24,Pelotas,RS,Não,SISU - Ampla concorrência,,25,0,8.9
Ciências Econômicas,161,21,Alegrete,RS,Não,SISU - Cota,"L5: independentemente da renda, cursou todo EM em escola pública",34,14,4
Engenharia de Computação,181,18,Pelotas,RS,Não,PAVE - Ampla concorrência,,18,0,7.7 (sem certeza)
Ciência da Computação,171,24,São Paulo,SP,Sim,SISU - Ampla concorrência,,22,4,6.4
Engenharia de Computação,191,21,Osório ,RS,Não,SISU - Cota,"L1: com renda familiar < ou = 1,5 salários mínimos e cursou todo EM em escola pública",7,1,8.2
Ciência da Computação,131,27,Porto Alegre,RS,Não,Transferência,,57,16,4.6
Ciência da Computação,102,26,Pelotas,RS,Sim,SISU - Ampla concorrência,,50,15,5.4
Engenharia de Computação,121,24,Pelotas,RS,Não,SISU - Ampla concorrência,,67,17,5.7
Ciência da Computação,172,20,Pelotas,RS,Sim,SISU - Cota,"L5: independentemente da renda, cursou todo EM em escola pública",17,0,9.5
Ciência da Computação,171,19,Florianópolis,SC,Não,PAVE - Ampla concorrência,,18,7,5.68
Ciência da Computação,171,20,São Lourenço do Sul,RS,Não,SISU - Ampla concorrência,,23,0,9.2
Ciência da Computação,171,21,Porto Alegre,RS,Não,SISU - Ampla concorrência,,22,3,6.7
Ciência da Computação,171,19,São Lourenço do Sul,RS,Não,PAVE - Cota,"L1: com renda familiar < ou = 1,5 salários mínimos e cursou todo EM em escola pública",19,5,5.7
Ciência da Computação,171,19,Porto Alegre,RS,Sim,SISU - Ampla concorrência,,23,0,8.7
Ciências Econômicas,181,25,Goiânia,GO,Sim,SISU - Cota,"L2: autodeclarado preto, pardo ou indígena, com renda familiar < ou = 1,5 salários mínimos e cursou todo EM em escola pública",20,4,8
Ciência da Computação,171,19,Santa Rosa,RS,Não,SISU - Ampla concorrência,,24,8,6
Ciência da Computação,171,20,Pelotas,RS,Não,SISU - Ampla concorrência,,24,3,8.6
Ciência da Computação,152,22,Pelotas,RS,Não,SISU - Ampla concorrência,,39,7,6.6
Ciência da Computação,152,23,Pelotas,RS,Sim,SISU - Ampla concorrência,,39,1,8
Ciência da Computação,151,23,Esteio ,RS,Não,SISU - Cota,"L5: independentemente da renda, cursou todo EM em escola pública",26,7,6
Ciência da Computação,172,21,Capão do Leão,RS,Sim,SISU - Ampla concorrência,,16,0,9.1
Ciência da Computação,132,25,Goiânia,GO,Não,SISU - Ampla concorrência,,62,5,5.1
Ciência da Computação,171,21,Rio Grande ,RS,Não,SISU - Ampla concorrência,,23,0,7.5
Ciências Econômicas,171,19,Pelotas,RS,Sim,PAVE - Ampla concorrência,,22,0,9.1
Ciência da Computação,171,20,Fraiburgo,SC,Não,SISU - Ampla concorrência,,21,1,6.6
Engenharia de Computação,141,25,Pelotas,RS,Não,SISU - Ampla concorrência,,47,11,6
Ciência da Computação,171,21,Pelotas,RS,Não,SISU - Cota,"L5: independentemente da renda, cursou todo EM em escola pública",22,4,6.33
Engenharia de Computação,171,20,Pelotas,RS,Não,SISU - Ampla concorrência,,25,0,8.3
Engenharia de Computação,171,21,Nova Prata,RS,Não,SISU - Cota,"L5: independentemente da renda, cursou todo EM em escola pública",23,0,7.8
Engenharia de Computação,171,19,São Lourenço do Sul,RS,Não,SISU - Ampla concorrência,,33,0,9.5
Engenharia de Computação,171,20,Campinas,SP,Não,SISU - Ampla concorrência,,17,1,7
Ciência da Computação,132,23,Pelotas,RS,Não,Transferência,,22,9,3.5
Licenciatura em Matemática - Noturno,161,20,Porto Alegre,RS,Sim,SISU - Ampla concorrência,,35,11,5.4
