cidade,latitude,longitude,distancia
Abadia Dos Dourados,-18.4910634,-47.406365,1552.55313558
Abaetetuba,-1.71806,-48.8825,3346.38949759
Abaiara,-7.33642,-39.06129,3036.3319761
Abatia,-23.3052967,-50.3102532,959.381034699
Abdon Batista,-27.58981,-51.04023,480.395003631
Abelardo Luz,-26.59825,-52.22321,573.565011354
Abreulândia,-9.43672,-49.31733,2492.67488294
Acauã,-8.31552,-40.91283,2854.06530339
Aceguá,-31.64597,-54.10715,167.852167494
Acreúna,-17.43605,-50.26696,1601.73134834
Adamantina,-21.68528,-51.0725,1124.69960657
Aguai,46.3001342,11.4044046,10757.1085541
Agudo,-29.62631,-53.22404,252.417765572
Ajuricaba,-28.20723,-53.74458,417.662292319
Alcinópolis,-18.19955,-53.75814,1510.22137287
Alecrim,-27.65897,-54.75943,512.34865231
Alegrete,-29.78306,-55.79194,397.013268623
Alegrete Do Piauí,-7.2440138,-40.8602296,2965.72207372
Alfenas,-21.42917,-45.94722,1310.3379634
Almeirim,-1.52333,-52.58167,3348.21687567
Almenara,-16.18361,-40.69444,2090.86455951
Alpestre,-27.22135,-53.05749,509.144784103
Alpinópolis,-20.86361,-46.38806,1346.1934414
Alta Floresta,-10.01997,-56.30288,2442.88919939
Altamira,-3.20333,-52.20639,3162.38659161
Alto Alegre,2.98858,-61.307167,3962.28171466
Alto Araguaia,-17.31472,-53.21528,1603.84512865
Alto Bela Vista,-27.40999,-51.93145,485.139680716
Alto Garças,-16.81961,-53.62461,1661.28004236
Alto Paraguai,-14.76851,-56.72113,1935.14863208
Alto Piquiri,-24.02806,-53.44056,864.931038685
Alvorada,-12.48,-49.12472,2161.65784445
Alvorada Do Norte,-14.483911,-46.4959897,2005.07462403
Amambaí,-23.1271,-54.9579,992.112042341
Amaral Ferrador,-30.80769,-52.29964,106.988562014
Americana,-22.73917,-47.33139,1116.75235067
Amparo,-22.70111,-46.76444,1146.4398729
Américo Brasiliense,-21.72444,-48.10167,1190.17877894
Anadia,-9.68444,-36.30417,2952.91025003
Ananindeua,-1.36556,-48.37222,3391.34624733
Andradas,-22.06806,-46.56917,1217.9862237
Angatuba,-23.48972,-48.41278,996.129218742
Angra Dos Reis,-23.0063966,-44.316326,1253.49866556
Anta Gorda,-28.96836,-51.97107,312.844810104
